//List of genres generated by genres.js

title,slug
Middle School,middle-school
Cycling,cycling
Elementary School,elementary-school
Mermaid,mermaid
Android,android
All Girls School,all-girls-school
Vampire,vampire
Wrestling,wrestling
Samurai,samurai
Elf,elf
Pirate,pirate
Bishounen,bishounen
Tentacle,tentacle
Boxing,boxing
Musical Band,musical-band
Cooking,cooking
Air Force,air-force
Bounty Hunter,bounty-hunter
High School,high-school
Delinquent,delinquent
Maid,maid
Magic,magic
Cyborg,cyborg
Alien,alien
Zombie,zombie
Robot,robot
Martial Arts,martial-arts
Angel,angel
Waitress,waitress
Dragon,dragon
Assassin,assassin
Idol,idol
Nurse,nurse
Magical Girl,magical-girl
Ghost,ghost
Cross Dressing,cross-dressing
Deity,deity
Ninja,ninja
Office Lady,office-lady
Gunfights,gunfights
Battle Royale,battle-royale
Swordplay,swordplay
Super Power,super-power
Present,present
Past,past
Future,future
Space,space
Fantasy World,fantasy-world
Desert,desert
Earth,earth
Island,island
Countryside,countryside
Human Enhancement,human-enhancement
Time Travel,time-travel
Mecha,mecha
Space Travel,space-travel
Alternative Past,alternative-past
Historical,historical
Alternative Present,alternative-present
Power Suit,power-suit
Transforming Craft,transforming-craft
Piloted Robot,piloted-robot
Demon,demon
High Fantasy,high-fantasy
Contemporary Fantasy,contemporary-fantasy
Dark Fantasy,dark-fantasy
Absurdist Humour,absurdist-humour
Super Deformed,super-deformed
Slapstick,slapstick
Breaking The Fourth Wall,breaking-the-fourth-wall
Parody,parody
Satire,satire
Other Planet,other-planet
Shipboard,shipboard
University,university
School Clubs,school-clubs
Japan,japan
Korea,korea
China,china
Russia,russia
Tokyo,tokyo
Kyoto,kyoto
New York,new-york
Heian Period,heian-period
Victorian Period,victorian-period
Sengoku Period,sengoku-period
Tokugawa Period,tokugawa-period
World War II,world-war-ii
Bakumatsu   Meiji Period,bakumatsu-meiji-period
Voyeurism,voyeurism
Netorare,netorare
Ahegao,ahegao
Violence,violence
Combat,combat
Tennis,tennis
Volleyball,volleyball
Motorsport,motorsport
Basketball,basketball
Mars,mars
Street Racing,street-racing
Formula Racing,formula-racing
Violent Retribution For Accidental Infringement,violent-retribution-for-accidental-infringement
Feudal Warfare,feudal-warfare
Humanoid Alien,humanoid-alien
Parasite,parasite
Slow When It Comes To Love,slow-when-it-comes-to-love
Shoujo Ai,shoujo-ai
Shounen Ai,shounen-ai
Sudden Girlfriend Appearance,sudden-girlfriend-appearance
Unrequited Love,unrequited-love
Love Polygon,love-polygon
Plot Continuity,plot-continuity
Stereotypes,stereotypes
Reverse Harem,reverse-harem
Performance,performance
Music,music
Baseball,baseball
France,france
United Kingdom,united-kingdom
Italy,italy
Germany,germany
United States,united-states
Europe,europe
Americas,americas
Middle East,middle-east
Asia,asia
Africa,africa
Floating Island,floating-island
Parallel Universe,parallel-universe
Virtual Reality,virtual-reality
Mafia,mafia
Action,action
Angst,angst
Blackmail,blackmail
Science Fiction,science-fiction
Fantasy,fantasy
Adventure,adventure
Horror,horror
Thriller,thriller
Comedy,comedy
Henshin,henshin
Ecchi,ecchi
Anthropomorphism,anthropomorphism
Romance,romance
Harem,harem
Cyberpunk,cyberpunk
Friendship,friendship
Proxy Battles,proxy-battles
Slice of Life,slice-of-life
Slavery,slavery
Politics,politics
School Life,school-life
Steampunk,steampunk
Anti War,anti-war
Crime,crime
Disaster,disaster
Religion,religion
Revenge,revenge
Conspiracy,conspiracy
Sports,sports
Dystopia,dystopia
The Arts,the-arts
Law And Order,law-and-order
Drama,drama
Coming Of Age,coming-of-age
Housewives,housewives
Female Teacher,female-teacher
Female Student,female-student
Dark Skinned Girl,dark-skinned-girl
Cops,cops
Special Squads,special-squads
Genetic Modification,genetic-modification
Parental Abandonment,parental-abandonment
Post Apocalypse,post-apocalypse
War,war
Rotten World,rotten-world
Detective,detective
Super Robot,super-robot
Working Life,working-life
Superhero,superhero
Buddhism,buddhism
Shinsengumi,shinsengumi
Military,military
Space Battles,space-battles
Drifting,drifting
Three Kingdoms,three-kingdoms
Summer,summer
Tone Changes,tone-changes
Epidemic,epidemic
Space Opera,space-opera
Card Games,card-games
Thievery,thievery
Navy,navy
Student Government,student-government
Juujin,juujin
Robot Helper,robot-helper
Soccer,soccer
Content Indicators,content-indicators
Dynamic,dynamic
Elements,elements
Setting,setting
Themes,themes
Psychological,psychological
Supernatural,supernatural
Mystery,mystery
Gender Bender,gender-bender
Yaoi,yaoi
Anime Influenced,anime-influenced
Dementia,dementia
Kids,kids
Family,family
Target Demographics,target-demographics
Shoujo,shoujo
Shounen,shounen
Seinen,seinen
Josei,josei
Isekai,isekai
